Maquette (Bootstrap);Conception;inprogress
MCD (base de données);Conception;testing
Layout;Composants;inprogress
Menu de navigation;Composants;inprogress
Pied de page;Composants;inprogress
Messages d’alerte;Composants;todo
La page d’accueil;Pages;inprogress
Les Mentions Légales;Pages;inprogress
La Politique de Confidentialité;Pages;inprogress
Le tableau de bord;Pages;todo
Les rôles des utilisateurs;Utilisateurs;todo
Liste des utilisateurs;Utilisateurs;todo
Inscription d’un utilisateur;Utilisateurs;todo
Connexion d’un utilisateur;Utilisateurs;todo
Déconnexion d’un utilisateur;Utilisateurs;todo
Profil d’un utilisateur;Utilisateurs;todo
Edition d’un utilisateur;Utilisateurs;todo
Suppression d’un utilisateur;Utilisateurs;todo
Mot de passé oublié;Utilisateurs;todo
Nouveau mot de passe;Utilisateurs;todo
Envoyer une invitation;Utilisateurs;todo
Refuser une invitation;Utilisateurs;todo
Envoyer un message;Utilisateurs;todo
Exportation des utilisateurs;Utilisateurs;todo
Importation des utilisateurs;Utilisateurs;todo
Liste des équipes;Equipes;todo
Ajout d’une équipe;Equipes;todo
Edition d’une équipe;Equipes;todo
Suppression d’une équipe;Equipes;todo
Ajout d'un utilisateur dans une équipe;Equipes;todo
Transfert d’une équipe;Equipes;todo
Exportation des équipes;Equipes;todo
Importation des équipes;Equipes;todo
Liste des événements;Evénements;todo
Consultation d’un événement;Evénements;todo
Ajout d’un événement;Evénements;todo
Edition d’un événement;Evénements;todo
Suppression d’un événement;Evénements;todo
Exportation des événements;Evénements;todo
Importation des événements;Evénements;todo
Liste des contacts;Contacts;todo
Ajout d’un contact;Contacts;todo
Edition d’un contact;Contacts;todo
Suppression d’un contact;Contacts;todo
Exportation des événements;Contacts;todo
Importation des événements;Contacts;todo